hostel_name,City,latitude,longitude,feature,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security
Shree balaji homes girls hostel,Indore,22.691486,75.8627395,"For Boys,NonAC,Wifi,Mess",3.5,"Bhawarkuan, Indore",8Votes,9425054749,9826082392,"196, Vishnupuri Nx Colony, Vishnu Puri Colony, Indore, Madhya Pradesh 452001, India",7000,6500,6000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Shree Kripa For Girls,Indore,22.7614058,75.8871407,"For Girls,NonAC,Wifi,Mess",3.8,"Scheme No. 78 - Part II, Indore",6Votes,9826200094,7771000231,"5, Scheme 78, Main Rd, opp. Prestige Engg. College, Scheme Number 78, Part II, Vijay Nagar, Indore, Madhya Pradesh 452010, India",NA,6400,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shree Mahaveer For Girls,Indore,22.7148731,75.8898845,"For Girls,NonAC,Wifi,Mess",3.4,"Geeta Bhawan, Indore",9Votes,0731 - 2493533,9425319255,"Geeta Bhavan, Indore, Madhya Pradesh 452001, India",NA,NA,"4,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shree Mangal For Girls,Indore,22.7171592,75.8821379,"For Girls,NonAC,Wifi,Mess",3.3,"Geeta Bhawan, Indore",8Votes,9827690417,9589337218,"4a, Ratlam Kothi, Indore, Madhya Pradesh 452001, India",NA,NA,"5,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shree Paras Deep For Girls,Indore,22.7496476,75.8955032,"For Girls,NonAC,Wifi,Mess",2.9,"Vijay Nagar, Indore",8Votes,0731 - 2493272,0731 - 2493272,"P4, Ground Floor, Shagun Building, AB Road, Scheme No.54, Vijay Nagar Square, Ratna Lok Colony, Indore, Madhya Pradesh 452011, India",NA,5000,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shree Ram Group Of Hostel,Indore,22.6323231,75.8082207,"For Boys,NonAC,Wifi,Mess",3.2,"Rau, Indore",6Votes,0731 - 4031050,0731 - 4031050,"Shop no G1, Ground Floor, PRK Residency, Rau, Indore, Madhya Pradesh 453331, India",NA,1650,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Shree Ram Nilay For Girls,Indore,22.7577182,75.9061604,"For Girls,NonAC,Wifi,Mess",5,"Vijay Nagar, Indore",1Vote,8770031480,8770031480,"23 Near Bombay Hospital, Veena Nagar, Indore, Madhya Pradesh 452010, India",NA,4000,3500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shree Sahaj For Girls,Indore,22.7129405,75.875325,"For Girls,NonAC,Wifi,Mess",3,"Madhumilan Square, Indore",8Votes,9755594943,9755594943,"199, Rabindranath Tagore Marg, Opp. Dawa Bazar, Murai Mohalla, Kibe Compound, Indore, Madhya Pradesh 452001, India",7000,5500,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shree Shree Kripa For Girls,Indore,22.7552708,75.8967026,"For Girls,NonAC,Wifi,Mess",2.3,"Satya Sai Square, Indore",7Votes,9039393789,9584327237,"BRTS Indore, Scheme No 74, Scheme 54 PU4, Indore, Madhya Pradesh 452010, India","8,500","5,800","5,400",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shree Sudha For Girls,Indore,22.6568749,75.8859585,"For Girls,NonAC,Wifi,Mess",2.8,"Chhawani, Indore",5Votes,9039393789,8982000663,"6, 8, Ushaganj, Chhawni, Indore, Madhya Pradesh 452001, India",NA,"5,400","5,000",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shree Vallabh Girls Hostel / PG For Girls & Working Professionals,Indore,22.6834928,75.8599382,"For Girls,AC,Wifi,Mess",3.95,"Bhawarkuan, Indore",5Votes,0731 - 4080029,0731 - 4080029,"B1-2, Sarvanand Nagar, Near Meera Garden Near Bhanwarkua Square, Near Mata Gujri College, Sarvanand Nagar, Pipliya Rao, Indore, Madhya Pradesh 452007, India",9000,6000,5500,For Girls,AC,Wifi,Mess,NA,NA
Shree villa girls hostel,Indore,22.7679065,75.895539,"For Girls,NonAC,Wifi,Mess",3.7,"Vijay Nagar, Indore",7Votes,7771000234,7771000231,"1140, New road, Part I, Vijay Nagar, Indore, Madhya Pradesh 452010, India",9000,6500,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shree Vinayak For Boys,Indore,22.7302108,75.8976667,"For Boys,NonAC,Wifi,Mess",2.3,"Anand Bazar, Indore",6Votes,9300832533,9302113353,"50, Shree Nagar Ext, Shree Nagar, Indore, Madhya Pradesh 452010, India",6500,5000,4700,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Shri Ganesh Vatika For Girls,Indore,22.686373,75.8682617,"For Girls,NonAC,Wifi,Mess",3.3,"Bhawarkuan, Indore",6Votes,0731 - 4257838,0731 - 4257838,"163, Bhawarkua Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",5500,3500,2900,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Shri Ram Manglik Bhawan (Boys),Indore,22.723148,75.863427,"For Boys,NonAC,Wifi,Mess",2.6,"M G Road, Indore",9Votes,0731 - 2532393,0731 - 2532393,"25/1, Kachi Mohalla, Jail Road, Indore, Madhya Pradesh 452001, India",10000,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Shri Sai Girls Hostal,Indore,22.7332422,75.8915273,"For Girls,NonAC,Wifi,Mess",3.3,"LIG Square, Indore",7Votes,9626804900,9584718103,"86, LIG Link Rd, Anoop Nagar, Indore, Madhya Pradesh 452011, India",NA,NA,3700,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Siddharth For Girls,Indore,22.6905323,75.86456,"For Girls,NonAC,Wifi,Mess",3,"Bhawarkuan, Indore",7Votes,7697381789,9425075198,"9, Vishnupuri, Bhanwarkua Square, AB Rd, Vishnupuri, Indore, Madhya Pradesh 452001, India",NA,NA,"4,200",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Siddharth Girls Hostel,Indore,22.692634,75.8642689,"For Girls,NonAC,Wifi,Mess",4,"Bhawarkuan, Indore",10Votes,9009076111,9926146876,"115, Vishnu Puri Colony, Indore, Madhya Pradesh 452014, India",13000,8000,5000,For Girls,NonAC,Wifi,Mess,NA,NA
Siddhi Vinayak For Boys,Indore,22.7253496,75.9001545,"For Boys,NonAC,Wifi,Mess",3.8,"Saket Nagar, Indore",8Votes,731 - 2575688,731 - 2575688,"1321 2, 2, Gulmohar Colony, Manish Puri, Indore, Madhya Pradesh 452018, India",NA,5000,4500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Sita Bhavan For Girls,Indore,22.7040925,75.873473,"For Girls,NonAC,Wifi,Mess",3,"Navlakha, Indore",8Votes,0731 - 2400052,2401636,"25, Chhawni Rd, Nagar Nigam Market, Agrasen Chouraha, Agrasen Square, Navlakha, Indore, Madhya Pradesh 452001, India",NA,5500,5300,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Sitashree Girls Hostel,Indore,22.6889292,75.8655849,"For Girls,NonAC,NonWifi,Mess",4.1,"Bhawarkuan, Indore",8Votes,9826226930,9826226930,"7, next to Mr. Madhu Verma House, Ahilya Puri, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",12000,8000,6500,For Girls,NonAC,NonWifi,Mess,Cleaning,Security
Soham Girls Hostel,Indore,22.6945011,75.8672102,"For Boys,AC,Wifi,Mess",3.8,"Bhawarkuan, Indore",7Votes,9752111118,9630784804,"29, 30, Bhawarkua Main Rd, near Devi Ahilya Girls Hostel, Professor Colony, Indore, Madhya Pradesh 452010, India",12000,8000,7800,For Boys,AC,Wifi,Mess,Cleaning,Security
Sri Ji For Boys,Indore,22.7114578,75.872095,"For Boys,NonAC,Wifi,Mess",3.3,"Chhawani, Indore",6Votes,9669247111,9302080479,"Shyam Sangam Rd, Murai Mohalla, Chhawni, Indore, Madhya Pradesh 452001, India",NA,1500,1500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Sukhmani Boys Hostel,Indore,22.6930286,75.8650958,"For Boys,NonAC,NonWifi,NA",4,"Bhawarkuan, Indore",6Votes,0731 - 4967412,9827222348,"31-32, Bhawarkua Main Rd, Sch. 44-B, Sidharth Nagar, Aditya Nagar, Vishnu Puri Colony, Indore, Madhya Pradesh 452001, India",3500,3000,3000,For Boys,NonAC,NonWifi,NA,Cleaning,Security
Sunita PG Girls,Indore,22.7095017,75.8766738,"For Girls,NonAC,Wifi,Mess",3,"Chhawani, Indore",7Votes,0731 - 2703981,4289914,"10, 7, Ushaganj, Chhawni, Indore, Madhya Pradesh 452001, India",NA,"3,600","3,300",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Sunrise For Boys,Indore,22.7210099,75.8721525,"For Boys,NonAC,Wifi,Mess",3.7,"Reagal Square, Indore",5Votes,9893064000,9893064000,"9, Near Regal, Dhenu Market Rd, Nehru Park 2, Dhenu Market, Indore, Madhya Pradesh 452003, India",NA,5000,,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Suyug Girls Hostel,Indore,22.756664,75.8866633,"For Girls,NonAC,NonWifi,Mess",3.6,"Vijay Nagar, Indore",9Votes,9893166165,9753155637,"F-9, Scheme No 54, Ganesh Nagar, Vijay Nagar, Indore, Madhya Pradesh 452010, India",9500,7500,5500,For Girls,NonAC,NonWifi,Mess,Cleaning,Security
Swastik For Girls,Indore,22.6961754,75.8801574,"For Girls,NonAC,Wifi,Mess",2.7,"Navlakha, Indore",6Votes,9826018845,8085209125,"14 Nemawar Road, Navlakha Rd, Prakash Nagar, Indore, Madhya Pradesh 452001, India",NA,4700,4300,For Girls,NonAC,Wifi,Mess,Cleaning,Security
The Sky For Boys,Indore,22.7645437,75.8750364,"For Boys,NonAC,Wifi,Mess",3.2,"Bapat Square, Indore",5Votes,9926784088,9926784088,"Unnamed Road, Row House, Royal Bungalow, Sukhlia, Indore, Madhya Pradesh 452010, India",NA,NA,4000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Turning Point For Girls,Indore,22.7560057,75.906392,"For Girls,NonAC,Wifi,Mess",3.4,"Bombay Hospital, Indore",7Votes,0731 - 2573366,9425060793,"156, Chikitsak Nagar, Indore, Madhya Pradesh 452010, India",NA,5000,4500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Uday For Boys,Indore,22.7204271,75.8908611,"For Boys,NonAC,Wifi,Mess",3.2,"Geeta Bhawan, Indore",6Votes,8349908802,7509068665,"55, Shanti Nagar, Manoramaganj, Geeta Bhawan Mandir, near Palasiya, Shanti Nagar, Indore, Madhya Pradesh 452001, India",NA,4000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Umashree For Girls,Indore,22.7114578,75.872095,"For Girls,NonAC,Wifi,Mess",3.3,"Chhawani, Indore",5Votes,0731 - 4237005,0731 - 4237005,"Shyam Sangam Rd, Murai Mohalla, Chhawni, Indore, Madhya Pradesh 452001, India",NA,4000,3800,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Vaidehi Girls Hostel,Indore,22.6911089,75.8614084,"For Girls,NonAC,Wifi,Mess",3.75,"Bhawarkuan, Indore",8Votes,9826601579,8109110340,"88nx, near shivmandir, Bhawarkua, Vishnu Puri Colony, Indore, Madhya Pradesh 452001, India",7000,7000,7000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Vaishali For Girls,Indore,22.6838763,75.8294243,"For Girls,NonAC,Wifi,Mess",2.8,"Sudama Nagar, Indore",8Votes,9111110516,9111110516,"291, Gopur Square, Pre Conco Nagar, Precanco Colony, Indore, Madhya Pradesh 452012, India",NA,5000,"4,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Vaishnu Dham For Boys,Indore,22.7001285,75.8634777,"For Boys,NonAC,Wifi,Mess",2.8,"Bhawarkuan, Indore",8Votes,9009233916,9009233916,"Bhawarkua Main Rd, Indore, Madhya Pradesh, India",3500,2700,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Vardhman For Boys,Indore,22.7128296,75.8753681,"For Boys,NonAC,Wifi,Mess",4.5,"Chhawani, Indore",2Votes,9111110999,9300084888,"Rabindranath Tagore Marg, Opp. Dawa Bazar, Indore, Madhya Pradesh 452001, India",NA,7500,6500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Vatshaya Girls Hostel,Indore,22.6956541,75.8655628,"For Boys,NonAC,NonWifi,Mess",4,"Bhawarkuan, Indore",7Votes,9926000387,9926000387,"MVW8+768, Transport Nagar, Indore, Madhya Pradesh 452014, India",5000,4500,4000,For Boys,NonAC,NonWifi,Mess,Cleaning,Security
Vidhya Bain Dipchand Mahila Awas Grah,Indore,22.715885,75.844382,"For Girls,NonAC,Wifi,Mess",3,"Jawahar Marg, Indore",7Votes,9826059431,9826059431,"1, 7/1, S Rajmohalla, near Hotel World, Old Rajmohalla, North Rajmohalla, Ward 23, Indore, Madhya Pradesh 452002, India",NA,3000,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security
VIP Girls Hostel,Indore,22.6957107,75.8662001,"For Girls,AC,Wifi,Mess",4.1,"Bhawarkuan, Indore",7Votes,0731 - 4005438,8103921021,"9, Bhawarkua Main Rd, Tower Chouraha, Ashok Nagar, Indore, Madhya Pradesh 452001, India",12000,7000,6000,For Girls,AC,Wifi,Mess,Cleaning,Security
Viraj girls hostel,Indore,22.6953888,75.8707734,"For Girls,NonAC,Wifi,Mess",4.5,"Bhawarkuan, Indore",15Votes,9893883789,9893362886,"AB Rd, near Bhawarkua, Square, Indore, Madhya Pradesh 452001, India",7000,6500,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Vishalakshi Girls Hostels,Indore,22.6858234,75.8724246,"For Girls,NonAC,Wifi,Mess",4.5,"Bhawarkuan, Indore",7Votes,8889844406,9589500544,"Crystal IT PARK STP-1, Ground Floor, IT/ITES- SEZ, Khandwa Rd, Indra Puri Colony, near Bhawar Kuwan Square, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",10000,7000,6500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Vishalakshi Girls Hostels,Indore,22.6927876,75.8670118,"For Girls,NonAC,Wifi,Mess",4.3,"Bhawarkuan, Indore",15Votes,9893362886,9893362886,"Bhavarkuan Square, Indore, Madhya Pradesh, India",11000,7500,6500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
VR Boys hostel,Indore,22.7552375,75.9094531,"For Boys,NonAC,Wifi,Mess",3.5,"Bhawarkuan, Indore",5Votes,9893555665,9752173438,"QW45+3QW Indore, Madhya Pradesh, India",9000,7500,6500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Yadav For Boys,Indore,22.7466615,75.8805366,"For Boys,NonAC,Wifi,Mess",2.5,"LIG Main Road, Indore",8Votes,9827600000,9827600000,"136, Majdur Chowk, Bajrang Nagar, Indore, Madhya Pradesh 452011, India",NA,5000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Yadav For Boys,Indore,22.77177,75.8933483,"For Boys,NonAC,Wifi,Mess",3,"Satya Sai Square, Indore",5Votes,9827600000,9827600000,"Part I, Scheme No 114, Indore, Madhya Pradesh 452010, India",NA,NA,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Yadav For Boys,Indore,22.7630316,75.8940911,"For Boys,NonAC,Wifi,Mess",4,"Scheme No. 78 - Part I, Indore",7Votes,9827600000,9827600000,"QV7V+6J8, Slice 5, Aranya Nagar, Vijay Nagar, Indore, Madhya Pradesh 452010, India",NA,3400,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Yashasvi Girls Hostel,Indore,22.6868476,75.8689273,"For Girls,NonAC,Wifi,Mess",3.55,"Bhawarkuan, Indore",6Votes,0731 - 4096446,0731 - 4096446,"181, Indrapuri Colony, Indra Puri Colony, Indore, Madhya Pradesh 452014, India",10000,9000,7000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
