hostel_name,City,latitude,longitude,feature,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security
Om Sai Ram Hostel,Indore,22.6939541,75.8665271,"For Boys,AC,Wifi,Mess",3.2,"Bhawarkuan, Indore",7Votes,9111110999,9300084888,"16/20, 2/1, Bhawarkua Main Rd, Sahid Bagat Singh Colony, Ashok Nagar, Mechanic Nagar, Indore, Madhya Pradesh 452001, India",12000,7000,7000,For Boys,AC,Wifi,Mess,Cleaning,Security
Pallavi Shree girls hostel,Indore,22.686232,75.867757,"For Girls,AC,Wifi,Mess",4.2,"Bhawarkuan, Indore",7Votes,0731 - 2493272,0731 - 2493272,"276, Indrapuri Colony, Indra Puri Colony, Indore, Madhya Pradesh 452014, India",9000,6500,6000,For Girls,AC,Wifi,Mess,Cleaning,Security
Param Bhawan For Girls,Indore,22.6879868,75.8626782,"For Girls,NonAC,Wifi,Mess",3.4,"Bhawarkuan, Indore",7Votes,0731 - 4032757,9926357327,"AB Road & Bholaram Ustad Marg, Sarvanand Nagar, Bhanwar Kuwa, Indore, Madhya Pradesh 452014, India",5500,4800,4500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Paying Guest/PG,Indore,22.7567606,75.888819,"For Girls,NonAC,Wifi,Mess",3.2,"Vijay Nagar, Indore",7Votes,9425317027,9425317027,"BF 28 Gurjar Square Scheme No. 54, near Rajshree Hospital, Bhanvarkuan, Scheme No 74, Vijay Nagar, Indore, Madhya Pradesh 452010, India",NA,4500,4000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Pearl For Girls,Indore,22.6901345,75.8676187,"For Girls,NonAC,Wifi,Mess",3,"Bhawarkuan, Indore",5Votes,9826748358,9926486404,"124, Indrapuri Colony Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",NA,"5,800","5,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Pearl Girls hostel,Indore,22.6819541,75.8638205,"For Girls,NonAC,Wifi,Mess",3.75,"Bhawarkuan, Indore",5Votes,0731 - 2537150,0731 - 2537150,"Bholaram Ustad Marg, Nanak Palace, Indore, Madhya Pradesh 452014, India",5500,5500,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
PG For Boys,Indore,22.7532848,75.8936962,"For Boys,NonAC,Wifi,Mess",3.2,"Vijay Nagar, Indore",6Votes,9893631116,9893631116,"41 -A, Sheetal nagar, near rana girls hostel ,Vijay nagar,in, behind BCM heights, Vijay Nagar, Indore, Madhya Pradesh 452010, India",NA,2500,3000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Placio,Indore,22.7559257,75.8889281,"For Boys,NonAC,Wifi,Mess",4,"Vijay Nagar, Indore",7Votes,7053109531,7053109531,"Plot No 196 EH Sector EK, Scheme No.54, Scemen No 54, Vijay Nagar, Indore, Madhya Pradesh 452010, India",NA,6000,5000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Pragati For Girls,Indore,22.7322578,75.8893409,"For Girls,NonAC,Wifi,Mess",3.2,"LIG Square, Indore",34Votes,9893555665,9752173438,"AB Rd, near L.I.G Square, Rss Nagar, Indore, Madhya Pradesh 452008, India",7000,5700,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Preeti Girls Hostel,Indore,22.6898629,75.8665781,"For Girls,NonAC,Wifi,Mess",3.43,"Bhawarkuan, Indore",7Votes,0731 - 4257838,0731 - 4257838,"133, Indrapuri Colony Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",9000,7200,6800,For Girls,NonAC,Wifi,Mess,NA,NA
Princess Nest For Girls,Indore,22.7530419,75.8935306,"For Girls,NonAC,Wifi,Mess",2.7,"Vijay Nagar, Indore",7Votes,9981738817,9981738817,"7/9, Ida Officers Colony, Vijay Nagar, Indore, Madhya Pradesh 452010, India",2000,4800,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Prograssive For Boys,Indore,22.7217581,75.863183,"For Boys,NonAC,Wifi,Mess",3,"M G Road, Indore",5Votes,7869957087,9827222348,"15-A, near Gurudwara & District Court, Sikh Mohalla, Indore, Madhya Pradesh 452007, India",7000,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Queens Campus For Girls,Indore,22.6919473,75.8660795,"For Girls,NonAC,Wifi,Mess",2.8,"Bhawarkuan, Indore",6Votes,0731 - 4087209,0731 - 4087209,"2-3, Scheme No. 44, Bhawarkua Square, AB Rd, Vishnu Puri Colony, Indore, Madhya Pradesh 452001, India",10000,6000,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
QUEENS COURT (Girls & Working women hostel),Indore,22.6960726,75.866007,"For Girls,NonAC,NonWifi,Mess",4,"Bhawarkuan, Indore",6Votes,0731 - 2490162,0731 - 2490162,"Queens Court girls hostel, Natural Corner, 9 ashok nagar, Bhawarkua main road Landmark- PMC bank, opposite - Bharat petrol pump, Near ICICI Bank, Ashok Nagar, Indore, Madhya Pradesh 452001, India",12000,10000,8000,For Girls,NonAC,NonWifi,Mess,Cleaning,Security
Radhika Residency Girls Hostel,Indore,22.694581,75.8680489,"For Girls,NonAC,Wifi,Mess",3.4,"Vijay Nagar Square, Indore",6Votes,0731 - 2363770,9425937700,"12, Vidya Nagar, Indore, Madhya Pradesh 452001, India",4500,4500,4500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Raghukul For Girls,Indore,22.6970857,75.8771744,"For Girls,NonAC,Wifi,Mess",3.7,"Navlakha, Indore",10Votes,0731 - 2400754,9425314579,"51/2/2, AB Road, Khandelwal Navlakha Road, Near Petrol Pump, behind BCM City, Khandelwal Nagar, Navlakha, Indore, Madhya Pradesh 452001, India",NA,5200,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Ratan Hostel,Indore,22.6901345,75.8676187,"For Boys,AC,Wifi,Mess",4.5,"Bhawarkuan, Indore",8Votes,9425054749,9826082392,"124, Indrapuri Colony Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",10000,6500,5000,For Boys,AC,Wifi,Mess,Cleaning,Security
Ratnadevi Girl's Hostel,Indore,22.6900329,75.8679331,"For Girls,NonAC,Wifi,Mess",4.6,"Bhawarkuan, Indore",10Votes,0731 - 2400754,9425314579,"133, Indrapuri Colony Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452014, India",9000,7000,6500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Riddhi Siddhi For Girls,Indore,22.7129216,75.8751092,"For Girls,NonAC,Wifi,Mess",2.9,"Madhumilan Square, Indore",7Votes,0731 - 3200552,0731 - 3200552,"UG 11 Riddhi Siddhi tower, 151, RNT Marg, near LIC office, Opp. Dawa Bazar, Chhawni, Indore, Madhya Pradesh 452001, India",NA,5000,4700,For Girls,NonAC,Wifi,Mess,Cleaning,Security
S B For Boys,Indore,22.6323173,75.8085166,"For Boys,NonAC,Wifi,Mess",3.4,"Rajendra Nagar, Indore",10Votes,9303797324,9329601998,"97, AB Rd, Rau, Indore, Madhya Pradesh 453331, India",NA,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
S B For Boys,Indore,22.6646664,75.8268243,"For Boys,NonAC,Wifi,Mess",3.4,"Rajendra Nagar, Indore",7Votes,9303797324,9303797324,"1A, AB Rd, Rajendra Nagar, Indore, Madhya Pradesh 452012, India",NA,3500,3000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
S M J For Girls,Indore,22.7605209,75.9125018,"For Girls,NonAC,Wifi,Mess",3.1,"Bombay Hospital, Indore",9Votes,0731 - 2557544,7566566878,"QW67+622, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010, India",NA,6000,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Sai Ashray For Girls,Indore,22.7577065,75.9145344,"For Girls,NonAC,Wifi,Mess",2.9,"Bombay Hospital, Indore",7Votes,9425056448,9827097623,"near Bombay Hospital, Sector R, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010, India",NA,NA,2500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Sai Ashray For Girls,Indore,22.7379359,75.8925957,"For Girls,NonAC,Wifi,Mess",3.1,"Press Complex, Indore",19Votes,0731 - 4215388,9827272104,"301, 3rd Floor, Swadesh Bhawan, AB Rd, Near Dainik Bhaskar Press, Swadesh Bhavan, Press Complex, Indore, Madhya Pradesh 452008, India",NA,NA,4800,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Sai Kripa For Boys,Indore,22.7174885,75.8959749,"For Boys,NonAC,Wifi,Mess",3.3,"New Palasia, Indore",6Votes,9302128046,9993598055,"12, Bhaktavar Ram Nagar Rd, Near Salasar Balaji Mandir, Tilak Nagar Extension, Tilak Nagar, Indore, Madhya Pradesh 452018, India",NA,6000,5000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Sai Kripa For Girls,Indore,22.7136773,75.873366,"For Girls,NonAC,Wifi,Mess",3.1,"Madhumilan Square, Indore",15Votes,9302128046,9993598055,"Near Hanuman Mandir Madhu Milan Square, Kibe Compound, Chhoti Gwaltoli, Indore, Madhya Pradesh 452001, India",NA,NA,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Sainath For Girls,Indore,22.7174505,75.8901815,"For Girls,NonAC,Wifi,Mess",3.7,"Geeta Bhawan, Indore",7Votes,9407152219,9407152219,"9C, Geeta Bhavan, Seva Sardar Nagar, Indore, Madhya Pradesh 452001, India",7000,6000,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Sapphire For Girls,Indore,22.6989386,75.8639773,"For Girls,NonAC,Wifi,Mess",3.1,"Tower Square, Indore",7Votes,0731 - 4080029,0731 - 4080029,"908, Swami Pritamdas marg Tower Square, Opp Old Arti Sweets, next to Pishori Dhaba, Khatiwala Tank, Indore, Madhya Pradesh 452001, India","5,400","5,000","4,800",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Saraswati For Girls,Indore,22.7208318,75.8719937,"For Girls,NonAC,Wifi,Mess",2.3,"Reagal Square, Indore",7Votes,8109779026,8109779026,"16, 1, Dhenu Market Rd, Nehru Park 2, rigal, Indore, Madhya Pradesh 452003, India",NA,2600,2500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Satguru Girls Hostel,Indore,22.6955838,75.8680809,"For Girls,NonAC,NonWifi,Mess",3.4,"Bhawarkuan, Indore",8Votes,0731 - 4031050,0731 - 4031050,"001, Bhawarkua Main Rd, Vidya Nagar, Indore, Madhya Pradesh 452001, India",14000,7000,6000,For Girls,NonAC,NonWifi,Mess,Cleaning,Security
Satkaar Boys Hostel,Indore,22.6878949,75.8641184,"For Boys,AC,Wifi,Mess",3.75,"Bhawarkuan, Indore",7Votes,7747858700,7747858700,"47, Anantpuri Colony, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452014, India",6000,5000,4500,For Boys,AC,Wifi,Mess,Cleaning,Security
Satkar Boys Hostel,Indore,22.6948594,75.8666709,"For Boys,NonAC,Wifi,Mess",3.915,"Bhawarkuan, Indore",7Votes,8370000930,8839048424,"19-20, Bhawarkua Main Road Professor's Colony,Near Kesar Sarees, opposite Apple Hospital, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",9000,7000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Satkar For Boys,Indore,22.693412,75.881424,"For Boys,NonAC,Wifi,Mess",2.9,"Navlakha, Indore",9Votes,7566661404,8982830392,"163, Nemawar Rd, Shivmoti Nagar, Navlakha, Indore, Madhya Pradesh 452001, India",NA,4000,3800,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Satkar For Boys,Indore,22.7008461,75.875687,"For Boys,NonAC,Wifi,Mess",3.4,"Navlakha, Indore",5Votes,7566661404,8982830392,"4, Bus Stand, 20, Navlakha Rd, Infront of, Maa Durga Nagar, Navlakha, Indore, Madhya Pradesh 452001, India",NA,NA,"4,000",For Boys,NonAC,Wifi,Mess,Cleaning,Security
Satkar For Girls,Indore,22.690046,75.8650676,"For Girls,NonAC,Wifi,Mess",3,"Bhawarkuan, Indore",7Votes,7566661404,8982830392,"25, Piplia Rao, AB Rd, opposite of Medi Square Hospital, Bhanvarkuan, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 460447, India",NA,4800,4500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
